Image,x0,y0,x1,y1
PM-WWA-20180811-093.jpg,46,100,956,335
PM-WWA-20120430-011.jpg,220,132,1483,628
PM-WWA-20110724-023.jpg,106,123,1202,371
PM-WWA-20160924-452.jpg,86,139,1645,522
PM-WWA-20140703-551.jpg,96,174,2937,875
PM-WWA-20050917-016.jpg,65,185,1012,422
PM-WWA-20060518-010.jpg,104,138,795,327
PM-WWA-20140630-120.jpg,82,131,1792,571
PM-WWA-20050619-138.jpg,147,217,945,410
PM-WWA-20110531-134.jpg,96,129,3435,1204
PM-WWA-20080702-148.jpg,55,39,1448,491
PM-WWA-20100802-011.jpg,106,119,514,227
PM-WWA-20120607-035.jpg,56,60,1636,568
PM-WWA-20110825-049.jpg,59,71,3798,961
PM-WWA-20140328-014.jpg,92,210,3202,856
PM-WWA-20110630-102.jpg,90,132,2683,848
PM-WWA-20080416-011.jpg,55,116,1653,659
PM-WWA-20140522-187.jpg,80,130,1248,410
PM-WWA-20170710-031.jpg,64,133,1162,455
PM-WWA-20170622-226.jpg,98,131,1599,526
PM-WWA-20180813-271.jpg,71,142,1669,501
PM-WWA-20180506-348.jpg,67,137,1619,721
PM-WWA-20160701-346.jpg,87,146,1609,737
PM-WWA-20070526-194.jpg,56,114,695,292
PM-WWA-20170417-174.jpg,82,177,1621,559
PM-WWA-20170528-041.jpg,96,153,1457,511
PM-WWA-20160723-047.jpg,115,94,1262,335
PM-WWA-20160409-196.jpg,96,200,1626,532
PM-WWA-20070906-059.jpg,85,148,1351,602
PM-WWA-20160809-029.jpg,110,127,1652,435
PM-WWA-20170731-007.jpg,88,115,1641,714
PM-WWA-20160828-017.jpg,61,116,1631,564
PM-WWA-20110709-048.jpg,74,119,2884,977
PM-WWA-20160725-071.jpg,84,130,1202,426
PM-WWA-20180506-365.jpg,106,147,1455,675
PM-WWA-20090911-083.jpg,75,49,1554,517
PM-WWA-20101109-039.jpg,116,88,493,326
PM-WWA-20060608-034.jpg,183,237,833,412
PM-WWA-20110709-094.jpg,85,158,868,403
PM-WWA-20070424-007.jpg,51,22,1272,560
PM-WWA-20110721-019.jpg,117,126,2039,677
PM-WWA-20060927-198.jpg,96,214,1487,559
PM-WWA-20120419-213.jpg,70,184,1950,647
PM-WWA-20110626-121.jpg,59,86,635,258
PM-WWA-20140328-091.jpg,133,187,2318,819
PM-WWA-201006029-050.jpg,98,94,845,249
PM-WWA-20060716-167.jpg,156,240,1138,552
PM-WWA-20050612-045.jpg,167,206,829,403
PM-WWA-20060422-106.jpg,63,42,165,74
PM-WWA-20110615-003.jpg,122,112,1922,648
PM-WWA-20080708-039.jpg,81,129,1716,498
PM-WWA-20120727-130.jpg,57,84,1241,371
PM-WWA-20070826-133.jpg,16,32,298,179
PM-WWA-20170528-221.jpg,86,149,1608,517
PM-WWA-20120614-056.jpg,84,106,1645,439
PM-WWA-20110812-091.jpg,142,103,2147,610
PM-WWA-20060811-086.jpg,124,183,938,410
PM-WWA-20130714-195.jpg,70,209,4267,1311
PM-WWA-20170819-391.jpg,128,110,392,202
PM-WWA-20080807-057.jpg,91,45,1077,290
PM-WWA-20101020-057.jpg,94,120,2191,632
PM-WWA-20120729-012.jpg,45,94,1437,487
PM-WWA-20110721-151.jpg,118,137,2866,1281
PM-WWA-20050827-A008.jpg,977,939,2125,1215
PM-WWA-201006018-010.jpg,93,108,342,175
PM-WWA-20080717-007.jpg,81,126,1535,617
PM-WWA-20060608-112.jpg,36,60,577,215
PM-WWA-20100420-353.jpg,137,104,1224,369
PM-WWA-20050516-025.jpg,196,141,914,313
PM-WWA-20060825-039.jpg,166,223,932,439
PM-WWA-20080516-071.jpg,19,55,565,207
PM-WWA-20060612-017.jpg,169,192,858,344
