Image,x0,y0,x1,y1
PM-WWA-20180807-427.jpg,18,0,672,766
PM-WWA-20170511-629.jpg,87,161,1627,461
PM-WWA-20170724-108.jpg,224,207,541,492
PM-WWA-20180708-161.jpg,27,194,628,629
PM-WWA-20170528-162.jpg,65,187,1622,492
PM-WWA-20180522-138.jpg,43,248,1595,583
PM-WWA-20180713-082.jpg,149,115,339,328
PM-WWA-20180807-071.jpg,87,43,688,575
PM-WWA-20180606-015.jpg,91,198,1584,545
PM-WWA-20180914-066.jpg,82,72,186,161
PM-WWA-20170812-547.jpg,84,189,1605,451
PM-WWA-20180505-333.jpg,110,247,1588,479
PM-WWA-20180819-032.jpg,65,182,1540,707
PM-WWA-20170701-356.jpg,113,117,1594,530
PM-WWA-20180713-079.jpg,26,205,1631,516
PM-WWA-20180616-046.jpg,62,122,1608,558
PM-WWA-20180731-211.jpg,54,131,1645,374
PM-WWA-20180506-335.jpg,96,261,1469,501
PM-WWA-20180322-625.jpg,66,127,559,331
PM-WWA-20170814-156.jpg,75,203,1604,488
PM-WWA-20170626-023.jpg,79,166,1597,518
PM-WWA-20170710-153.jpg,79,144,1606,572
PM-WWA-20180701-178.jpg,32,160,1611,533
PM-WWA-20180714-029.jpg,39,172,1617,575
PM-WWA-20180509-359.jpg,63,239,1591,628
PM-WWA-20180622-380.jpg,29,122,1659,578
PM-WWA-20180710-360.jpg,64,130,1606,740
PM-WWA-20180729-012.jpg,333,179,990,925
PM-WWA-20170509-236.jpg,56,220,1615,639
PM-WWA-20170528-194.jpg,44,147,1659,571
PM-WWA-20180613-016.jpg,395,192,628,549
PM-WWA-20181019-165.jpg,55,158,1647,597
PM-WWA-20180804-797.jpg,0,88,1669,369
PM-WWA-20170712-576.jpg,31,205,1597,643
PM-WWA-20170918-050.jpg,67,140,1604,967
PM-WWA-20180817-332.jpg,58,109,1618,446
PM-WWA-20170516-267.jpg,78,143,1621,515
PM-WWA-20180622-383.jpg,75,15,1610,234
PM-WWA-20170624-969.jpg,70,151,1636,486
PM-WWA-20180911-083.jpg,25,150,1608,585
PM-WWA-20170625-079.jpg,111,156,1372,432
PM-WWA-20170727-175.jpg,74,164,1582,525
PM-WWA-20180614-600.jpg,43,126,1651,528
PM-WWA-20170710-111.jpg,70,214,1591,603
PM-WWA-20170720-081.jpg,71,198,1619,498
PM-WWA-20171101-039.jpg,54,173,1647,756
PM-WWA-20170625-065.jpg,86,100,1607,582
PM-WWA-20170710-015.jpg,28,123,1622,632
PM-WWA-20180407-373.jpg,115,173,1579,480
PM-WWA-20180913-370.jpg,78,243,1633,557
PM-WWA-20180619-305.jpg,73,244,1593,489
PM-WWA-20170913-041.jpg,82,165,1630,466
PM-WWA-20170628-106.jpg,100,178,1566,477
PM-WWA-20180627-038.jpg,11,138,1619,520
PM-WWA-20170627-055.jpg,69,208,1621,603
PM-WWA-20170518-904.jpg,81,109,350,194
PM-WWA-20171009-027.jpg,43,149,1634,448
PM-WWA-20180722-103.jpg,31,136,1643,631
PM-WWA-20170622-037.jpg,110,242,1589,431
PM-WWA-20181019-254.jpg,93,178,1372,339
PM-WWA-20180623-068.jpg,52,141,1629,382
PM-WWA-20180805-248.jpg,76,146,1644,477
PM-WWA-20170801-051.jpg,83,157,1405,367
PM-WWA-20180805-023.jpg,54,130,1634,440
PM-WWA-20170814-134.jpg,77,129,771,329
PM-WWA-20180809-053.jpg,71,136,1525,539
PM-WWA-20170722-487.jpg,49,171,1617,553
PM-WWA-20180610-143.jpg,50,162,1577,531
PM-WWA-20180905-056.jpg,34,150,1542,440
PM-WWA-20170911-036.jpg,102,138,1453,441
PM-WWA-20170623-265.jpg,19,76,1629,550
PM-WWA-20170602-999.jpg,89,125,314,199
PM-WWA-20171009-021.jpg,99,110,570,286
PM-WWA-20170624-978.jpg,90,169,1600,457
PM-WWA-20170711-030.jpg,78,192,1596,515
PM-WWA-20170629-073.jpg,175,31,865,656
PM-WWA-20180622-347.jpg,108,111,1609,310
PM-WWA-20180904-006.jpg,24,134,1659,411
PM-WWA-20170628-122.jpg,129,256,1371,585
PM-WWA-20180713-173.jpg,47,182,1618,525
PM-WWA-20170602-1065.jpg,80,183,1461,443
PM-WWA-20180804-547.jpg,210,176,1287,342
PM-WWA-20180513-290.jpg,92,213,1500,670
PM-WWA-20170705-033.jpg,54,123,1441,487
PM-WWA-20180904-089.jpg,290,167,510,430
PM-WWA-20180814-042.jpg,318,208,699,716
PM-WWA-20170711-054.jpg,90,144,1602,726
PM-WWA-20170723-455.jpg,79,197,1637,493
PM-WWA-20180708-306.jpg,79,193,499,380
PM-WWA-20180914-032.jpg,20,107,1626,463
PM-WWA-20180813-024.jpg,71,140,1557,591
PM-WWA-20170628-145.jpg,14,83,869,347
PM-WWA-20180827-412.jpg,94,109,276,219
PM-WWA-20180616-070.jpg,63,177,1272,363
