img,x0,y0,x1,y1
PM-WWA-20130620-011.jpg,89,138,1089,286
PM-WWA-20060706-013.jpg,36,61,162,94
PM-WWA-20070710-020.jpg,60,80,760,224
PM-WWA-20060518-011.jpg,170,204,1004,464
PM-WWA-20060710-038.jpg,131,176,1016,560
PM-WWA-20160429-472.jpg,118,151,1588,612
PM-WWA-20120825-071.jpg,85,124,1297,580
PM-WWA-20060710-010.jpg,155,277,1141,616
PM-WWA-20080516-134.jpg,68,59,926,369
PM-WWA-20090522-058.jpg,55,106,1643,455
PM-WWA-20060826-054.jpg,147,190,1227,565
PM-WWA-20160428-218.jpg,96,186,1584,416
PM-WWA-20160428-098.jpg,81,119,630,186
PM-WWA-20060623-A011.jpg,169,183,746,381
PM-WWA-20140314-116.jpg,164,243,3090,627
PM-WWA-20140314-115.jpg,67,168,3100,820
PM-WWA-20110714-031.jpg,126,221,2161,728
PM-WWA-20090529-75a.jpg,77,120,2269,552
PM-WWA-20100424-047.jpg,33,214,2388,814
PM-WWA-20050704-005.jpg,143,211,954,379
PM-WWA-20130826-176.jpg,62,170,2471,701
PM-WWA-20060531-F028.jpg,100,177,837,366
PM-WWA-20060531-D055.jpg,17,39,373,170
PM-WWA-20090521-169.jpg,22,69,1226,500
PM-WWA-20090521-023.jpg,53,81,1213,280
PM-WWA-201006022-013.jpg,43,79,599,186
PM-WWA-20160417-329.jpg,98,207,1512,443
PM-WWA-20120823-066.jpg,46,107,1018,429
PM-WWA-20160720-188.jpg,54,215,1614,600
PM-WWA-20120727-130.jpg,26,124,1224,410
PM-WWA-20090809-254.jpg,47,46,958,457
PM-WWA-20140412-248.jpg,58,150,2181,541
PM-WWA-20120417-323.jpg,66,131,1627,399
PM-WWA-20150317-196.jpg,21,70,1626,670
PM-WWA-20110724-023.jpg,108,172,1198,352
PM-WWA-20100424-087.jpg,121,188,2185,686
PM-WWA-20140522-120.jpg,51,152,1615,457
PM-WWA-20070709-044.jpg,77,112,810,308
PM-WWA-20161025-008.jpg,80,183,1561,507
PM-WWA-20130806-155.jpg,50,124,900,313
PM-WWA-20160330-048.jpg,103,144,1654,434
PM-WWA-20110819-156.jpg,99,162,1883,891
PM-WWA-20100905-010.jpg,92,195,1570,475
PM-WWA-20090827-038.jpg,39,98,1586,591
PM-WWA-20110803-018.jpg,13,102,355,416
PM-WWA-20060731-072.jpg,114,212,1194,373
PM-WWA-20060727-002.jpg,96,149,1356,580
PM-WWA-20130423-163.jpg,51,133,1226,383
PM-WWA-20070429-152.jpg,156,105,1536,324
PM-WWA-20060611-026.jpg,159,252,756,386
PM-WWA-20060612-039.jpg,135,254,1161,406
PM-WWA-20050822-242.jpg,149,200,1038,334
PM-WWA-201006024-156.jpg,118,180,1767,452
PM-WWA-20090812-147.jpg,57,81,1875,623
PM-WWA-20060612-064.jpg,141,178,643,272
PM-WWA-20150715-271.jpg,53,130,1658,464
PM-WWA-20060612-114.jpg,172,272,902,361
PM-WWA-20140415-249.jpg,71,162,1181,407
PM-WWA-20110411-165.jpg,86,174,1784,508
PM-WWA-20060706-064.jpg,120,173,962,462
PM-WWA-20140608-118.jpg,56,91,1045,325
PM-WWA-20090731-367.jpg,85,106,1345,373
PM-WWA-20160429-398.jpg,76,203,1360,469
PM-WWA-20070418-058.jpg,55,137,1474,401
PM-WWA-20160428-154.jpg,164,183,1153,399
PM-WWA-20100723-339.jpg,92,144,770,281
PM-WWA-20100723-355.jpg,143,205,1750,453
PM-WWA-20110731-291.jpg,202,210,1064,751
PM-WWA-20060706-017.jpg,167,220,1272,640
PM-WWA-20060912-012.jpg,138,304,1504,578
PM-WWA-20050730-007.jpg,68,117,459,243
PM-WWA-20140409-131.jpg,130,120,836,581
PM-WWA-20120605-009.jpg,54,56,1663,325
PM-WWA-20060801-176.jpg,137,185,1072,502
PM-WWA-20070906-059.jpg,89,108,1371,621
PM-WWA-20110727-061.jpg,92,162,2284,672
PM-WWA-20140803-292.jpg,28,148,1448,446
PM-WWA-20050516-025.jpg,209,176,778,310
PM-WWA-20050520-150.jpg,151,182,506,247
PM-WWA-20050516-084.jpg,231,261,1311,792
PM-WWA-20120803-082.jpg,20,102,1294,532
PM-WWA-20130728-078.jpg,68,112,749,268
PM-WWA-20120913-013.jpg,64,171,1597,575
PM-WWA-20140522-256.jpg,35,106,334,192
PM-WWA-201006018-028.jpg,89,139,2042,714
PM-WWA-20130525-242.jpg,87,120,961,377
