,img,x0,y0,x1,y1
0,PM-WWA-20130620-011.jpg,89, 138, 1089, 286
1,PM-WWA-20060706-013.jpg,36, 61, 162, 94
2,PM-WWA-20070710-020.jpg,60, 80, 760, 224
3,PM-WWA-20060518-011.jpg,170, 204, 1004, 464
4,PM-WWA-20060710-038.jpg,131, 176, 1016, 560
5,PM-WWA-20160429-472.jpg,118, 151, 1588, 612
6,PM-WWA-20120825-071.jpg,85, 124, 1297, 580
7,PM-WWA-20060710-010.jpg,155, 277, 1141, 616
8,PM-WWA-20080516-134.jpg,68, 59, 926, 369
9,PM-WWA-20090522-058.jpg,55, 106, 1643, 455
10,PM-WWA-20060826-054.jpg,147, 190, 1227, 565
11,PM-WWA-20160428-218.jpg,96, 186, 1584, 416
12,PM-WWA-20160428-098.jpg,81, 119, 630, 186
13,PM-WWA-20060623-A011.jpg,169, 183, 746, 381
14,PM-WWA-20140314-116.jpg,164, 243, 3090, 627
15,PM-WWA-20140314-115.jpg,67, 168, 3100, 820
16,PM-WWA-20110714-031.jpg,126, 221, 2161, 728
17,PM-WWA-20090529-75a.jpg,77, 120, 2269, 552
18,PM-WWA-20100424-047.jpg,33, 214, 2388, 814
19,PM-WWA-20050704-005.jpg,143, 211, 954, 379
20,PM-WWA-20130826-176.jpg,62, 170, 2471, 701
21,PM-WWA-20060531-F028.jpg,100, 177, 837, 366
22,PM-WWA-20060531-D055.jpg,17, 39, 373, 170
23,PM-WWA-20090521-169.jpg,22, 69, 1226, 500
24,PM-WWA-20090521-023.jpg,53, 81, 1213, 280
25,PM-WWA-201006022-013.jpg,43, 79, 599, 186
26,PM-WWA-20160417-329.jpg,98, 207, 1512, 443
27,PM-WWA-20120823-066.jpg,46, 107, 1018, 429
28,PM-WWA-20160720-188.jpg,54, 215, 1614, 600
29,PM-WWA-20120727-130.jpg,26, 124, 1224, 410
30,PM-WWA-20090809-254.jpg,47, 46, 958, 457
31,PM-WWA-20140412-248.jpg,58, 150, 2181, 541
32,PM-WWA-20120417-323.jpg,66, 131, 1627, 399
33,PM-WWA-20150317-196.jpg,21, 70, 1626, 670
34,PM-WWA-20110724-023.jpg,108, 172, 1198, 352
35,PM-WWA-20100424-087.jpg,121, 188, 2185, 686
36,PM-WWA-20140522-120.jpg,51, 152, 1615, 457
37,PM-WWA-20070709-044.jpg,77, 112, 810, 308
38,PM-WWA-20161025-008.jpg,80, 183, 1561, 507
39,PM-WWA-20130806-155.jpg,50, 124, 900, 313
40,PM-WWA-20160330-048.jpg,103, 144, 1654, 434
41,PM-WWA-20110819-156.jpg,99, 162, 1883, 891
42,PM-WWA-20100905-010.jpg,92, 195, 1570, 475
43,PM-WWA-20090827-038.jpg,39, 98, 1586, 591
44,PM-WWA-20110803-018.jpg,13, 102, 355, 416
45,PM-WWA-20060731-072.jpg,114, 212, 1194, 373
46,PM-WWA-20060727-002.jpg,96, 149, 1356, 580
47,PM-WWA-20130423-163.jpg,51, 133, 1226, 383
48,PM-WWA-20070429-152.jpg,156, 105, 1536, 324
49,PM-WWA-20060611-026.jpg,159, 252, 756, 386
50,PM-WWA-20060612-039.jpg,135, 254, 1161, 406
51,PM-WWA-20050822-242.jpg,149, 200, 1038, 334
52,PM-WWA-201006024-156.jpg,118, 180, 1767, 452
53,PM-WWA-20090812-147.jpg,57, 81, 1875, 623
54,PM-WWA-20060612-064.jpg,141, 178, 643, 272
55,PM-WWA-20150715-271.jpg,53, 130, 1658, 464
56,PM-WWA-20060612-114.jpg,172, 272, 902, 361
57,PM-WWA-20140415-249.jpg,71, 162, 1181, 407
58,PM-WWA-20110411-165.jpg,86, 174, 1784, 508
59,PM-WWA-20060706-064.jpg,120, 173, 962, 462
60,PM-WWA-20140608-118.jpg,56, 91, 1045, 325
61,PM-WWA-20090731-367.jpg,85, 106, 1345, 373
62,PM-WWA-20160429-398.jpg,76, 203, 1360, 469
63,PM-WWA-20070418-058.jpg,55, 137, 1474, 401
64,PM-WWA-20160428-154.jpg,164, 183, 1153, 399
65,PM-WWA-20100723-339.jpg,92, 144, 770, 281
66,PM-WWA-20100723-355.jpg,143, 205, 1750, 453
67,PM-WWA-20110731-291.jpg,202, 210, 1064, 751
68,PM-WWA-20060706-017.jpg,167, 220, 1272, 640
69,PM-WWA-20060912-012.jpg,138, 304, 1504, 578
70,PM-WWA-20050730-007.jpg,68, 117, 459, 243
71,PM-WWA-20140409-131.jpg,130, 120, 836, 581
72,PM-WWA-20120605-009.jpg,54, 56, 1663, 325
73,PM-WWA-20060801-176.jpg,137, 185, 1072, 502
74,PM-WWA-20070906-059.jpg,89, 108, 1371, 621
75,PM-WWA-20110727-061.jpg,92, 162, 2284, 672
76,PM-WWA-20140803-292.jpg,28, 148, 1448, 446
77,PM-WWA-20050516-025.jpg,209, 176, 778, 310
78,PM-WWA-20050520-150.jpg,151, 182, 506, 247
79,PM-WWA-20050516-084.jpg,231, 261, 1311, 792
80,PM-WWA-20120803-082.jpg,20, 102, 1294, 532
81,PM-WWA-20130728-078.jpg,68, 112, 749, 268
82,PM-WWA-20120913-013.jpg,64, 171, 1597, 575
83,PM-WWA-20140522-256.jpg,35, 106, 334, 192
84,PM-WWA-201006018-028.jpg,89, 139, 2042, 714
85,PM-WWA-20130525-242.jpg,87, 120, 961, 377
86,PM-WWA-20120503-106.jpg,25, 106, 1575, 685
87,PM-WWA-20070616-023.jpg,77, 187, 1055, 374
88,PM-WWA-20150317-158.jpg,54, 115, 1626, 628
89,PM-WWA-20050723-176.jpg,215, 285, 1036, 500
90,PM-WWA-20090614-120.jpg,49, 83, 1283, 357
91,PM-WWA-20070502-B037.jpg,48, 121, 908, 375
92,PM-WWA-20160811-029.jpg,46, 161, 1637, 435
93,PM-WWA-20150824-058.jpg,74, 182, 1615, 584
94,PM-WWA-20070801-151.jpg,33, 175, 1006, 393
95,PM-WWA-20070731-113.jpg,26, 79, 824, 323
96,PM-WWA-20050831-052.jpg,55, 219, 1251, 557
97,PM-WWA-20060819-016.jpg,91, 233, 1322, 530
98,PM-WWA-20070801-120.jpg,86, 79, 282, 121
99,PM-WWA-20070723-109.jpg,53, 76, 940, 323
100,PM-WWA-20100729-011.jpg,120, 120, 1752, 964
101,PM-WWA-20130823-010.jpg,44, 149, 2397, 1159
102,PM-WWA-20110721-151.jpg,165, 181, 2794, 1382
103,PM-WWA-20050717-104.jpg,107, 160, 713, 351
104,PM-WWA-20070809-061.jpg,55, 192, 1556, 440
105,PM-WWA-20150821-043.jpg,68, 213, 1570, 606
106,PM-WWA-20160408-610.jpg,101, 159, 1607, 408
107,PM-WWA-20160716-015.jpg,82, 163, 1610, 596
108,PM-WWA-20070920-120.jpg,45, 25, 955, 426
109,PM-WWA-20050513-A029.jpg,254, 274, 793, 441
110,PM-WWA-20110529-063.jpg,21, 275, 4274, 1324
111,PM-WWA-20150805-441.jpg,83, 245, 1685, 537
112,PM-WWA-20150805-450.jpg,43, 205, 1429, 577
113,PM-WWA-20140704-144.jpg,140, 122, 337, 316
114,PM-WWA-20140704-156.jpg,59, 32, 605, 448
115,PM-WWA-20060725-201.jpg,155, 124, 383, 228
116,PM-WWA-20060731-069.jpg,131, 171, 779, 329
117,PM-WWA-20100904-028.jpg,89, 156, 1889, 778
118,PM-WWA-20110903-011.jpg,40, 119, 2232, 761
119,PM-WWA-20110819-140.jpg,77, 127, 1316, 476
120,PM-WWA-20060731-057.jpg,106, 154, 806, 312
121,PM-WWA-20140506-092.jpg,71, 185, 1499, 588
122,PM-WWA-20090406-077.jpg,50, 97, 1206, 390
123,PM-WWA-20150703-057.jpg,58, 215, 1607, 481
124,PM-WWA-20150806-008.jpg,92, 161, 1000, 342
125,PM-WWA-20150806-007b.jpg,90, 144, 1072, 470
126,PM-WWA-20060613-A068.jpg,153, 198, 1230, 606
127,PM-WWA-20060608-028.jpg,154, 207, 1164, 589
128,PM-WWA-20070821-014.jpg,45, 171, 1106, 411
129,PM-WWA-20050612-042.jpg,219, 200, 1090, 521
130,PM-WWA-20060530-C043.jpg,132, 292, 1473, 585
131,PM-WWA-20060613-A044.jpg,137, 165, 284, 188
132,PM-WWA-20060608-012.jpg,199, 215, 594, 330
133,PM-WWA-20060818-171.jpg,154, 232, 1188, 548
134,PM-WWA-20050831-078.jpg,193, 238, 1386, 712
135,PM-WWA-20060623-009.jpg,162, 208, 870, 434
136,PM-WWA-20060818-189.jpg,182, 198, 1022, 513
137,PM-WWA-20060827-056.jpg,160, 234, 1187, 691
138,PM-WWA-20060618-071.jpg,196, 257, 1148, 508
139,PM-WWA-20060530-123.jpg,181, 237, 1297, 521
140,PM-WWA-20060927-198.jpg,122, 224, 1507, 507
141,PM-WWA-20060623-149.jpg,117, 235, 1009, 458
142,PM-WWA-20060610-128.jpg,135, 212, 857, 350
143,PM-WWA-20110829-028.jpg,77, 178, 1874, 501
144,PM-WWA-20120707-019.jpg,59, 104, 548, 198
145,PM-WWA-20060612-046.jpg,157, 244, 851, 354
146,PM-WWA-20060612-098.jpg,185, 235, 800, 410
147,PM-WWA-20060612-067.jpg,191, 209, 584, 302
148,PM-WWA-20060612-085.jpg,239, 207, 889, 374
149,PM-WWA-20060612-099.jpg,194, 228, 842, 323
150,PM-WWA-20060612-019.jpg,191, 201, 825, 390
151,PM-WWA-20050822-195.jpg,119, 190, 807, 338
152,PM-WWA-20060611-022.jpg,131, 181, 686, 310
153,PM-WWA-20050822-245.jpg,118, 171, 730, 346
154,PM-WWA-20130806-376.jpg,75, 73, 332, 173
155,PM-WWA-20110823-112.jpg,63, 115, 911, 321
156,PM-WWA-20090611-052.jpg,71, 116, 1898, 471
157,PM-WWA-20070424-018.jpg,30, 111, 1121, 551
158,PM-WWA-20070425-165.jpg,79, 119, 1122, 301
159,PM-WWA-20110713-318.jpg,108, 84, 857, 417
160,PM-WWA-20120825-054.jpg,44, 84, 1077, 474
161,PM-WWA-20150621-339.jpg,66, 139, 1618, 477
162,PM-WWA-20100908-109.jpg,42, 123, 2432, 821
163,PM-WWA-20120806-134.jpg,44, 90, 1580, 322
164,PM-WWA-20130704-272.jpg,123, 266, 3069, 994
165,PM-WWA-20070426-083.jpg,89, 164, 1511, 446
166,PM-WWA-20090713-043.jpg,39, 92, 1141, 359
167,PM-WWA-20080816-020.jpg,78, 121, 2151, 560
168,PM-WWA-20080708-039.jpg,73, 146, 1694, 515
169,PM-WWA-20130721-201.jpg,55, 133, 1175, 398
170,PM-WWA-20110626-049.jpg,84, 233, 2163, 666
171,PM-WWA-20150623-139.jpg,90, 113, 1650, 547
172,PM-WWA-20060615-016.jpg,116, 199, 659, 313
173,PM-WWA-20060615-031.jpg,122, 225, 765, 394
174,PM-WWA-20060615-035.jpg,132, 232, 642, 369
175,PM-WWA-20060615-029.jpg,145, 224, 971, 365
176,PM-WWA-20060615-A106.jpg,122, 258, 1168, 453
177,PM-WWA-20060615-079.jpg,137, 279, 980, 417
178,PM-WWA-20160814-008.jpg,39, 220, 1594, 498
179,PM-WWA-201006017-029.jpg,113, 91, 1474, 554
180,PM-WWA-20050618-067.jpg,195, 216, 1071, 548
181,PM-WWA-20150918-008.jpg,76, 157, 1620, 388
182,PM-WWA-20140522-115.jpg,106, 250, 3424, 1019
183,PM-WWA-20060818-151.jpg,94, 185, 1046, 460
184,PM-WWA-20160812-027.jpg,92, 175, 1617, 598
185,PM-WWA-20150724-138.jpg,60, 115, 1570, 628
186,PM-WWA-20060530-C004.jpg,134, 191, 523, 277
187,PM-WWA-20160703-055.jpg,97, 172, 1578, 491
188,PM-WWA-20130705-225.jpg,79, 167, 2222, 600
189,PM-WWA-20060530-115.jpg,209, 246, 1316, 522
190,PM-WWA-20130829-195.jpg,165, 3, 740, 770
191,PM-WWA-20060530-A005.jpg,162, 228, 953, 521
192,PM-WWA-20140625-033.jpg,145, 163, 1147, 489
193,PM-WWA-20160428-233.jpg,97, 192, 1560, 635
194,PM-WWA-20080520-210.jpg,52, 125, 1337, 634
195,PM-WWA-20150503-120.jpg,93, 183, 1843, 965
196,PM-WWA-20140506-011.jpg,98, 207, 1953, 624
197,PM-WWA-20160417-073.jpg,70, 83, 413, 210
198,PM-WWA-20050415-A005.jpg,981, 1049, 1805, 1110
199,PM-WWA-20120902-030.jpg,63, 127, 528, 292
200,PM-WWA-20050710-125.jpg,173, 192, 839, 341
201,PM-WWA-20050710-114.jpg,141, 208, 986, 360
202,PM-WWA-20150808-268.jpg,13, 90, 1625, 458
203,PM-WWA-20160330-031.jpg,42, 173, 1597, 579
204,PM-WWA-20080819-088.jpg,60, 63, 1542, 559
205,PM-WWA-20110722-060.jpg,76, 143, 1089, 352
206,PM-WWA-20060711-006.jpg,325, 142, 719, 382
207,PM-WWA-20110528-008.jpg,175, 425, 2901, 838
208,PM-WWA-20140411-084.jpg,69, 118, 551, 310
209,PM-WWA-20070912-069.jpg,68, 128, 1336, 511
210,PM-WWA-20130423-142.jpg,128, 121, 2640, 894
